[12,44,36,10,27,3,11,23,20,15,2,30,6,16,31,26,14,21,34,32,37,24,42,46,38,33,29,22,47,8,5,28,17,40,45,18,19,13,1,9,35,4,7,25,39,48,43,41] => 161631.87201522663
[5,3,16,30,1,34,19,25,23,24,42,27,7,11,48,20,2,15,4,12,40,10,43,6,31,29,37,44,32,45,13,33,39,8,28,35,14,47,26,9,46,21,18,17,36,38,41,22] => 160135.1000898965
[37,32,44,40,28,8,39,43,11,16,45,9,35,24,3,47,6,36,15,1,2,13,29,17,26,25,19,21,41,18,22,42,5,34,10,27,30,12,33,4,20,14,23,38,31,46,48,7] => 159237.28606024836
[17,12,45,20,23,46,42,32,28,35,4,44,11,6,31,38,33,18,26,22,9,24,21,7,27,2,19,40,37,25,13,5,29,39,30,3,34,8,15,43,47,14,16,36,10,41,48,1] => 157932.30423423013
[11,35,41,23,4,12,5,3,33,45,42,24,30,36,8,38,16,17,18,40,15,22,34,48,39,44,1,10,46,28,37,29,7,2,6,32,21,26,13,31,47,9,20,27,14,43,25,19] => 157476.49581564195
[25,46,5,17,30,40,38,12,31,11,47,32,19,35,3,10,39,24,34,26,1,37,41,42,45,4,2,18,28,21,33,29,15,23,14,16,20,36,7,48,43,13,27,9,8,44,6,22] => 141055.2451076875
[34,5,40,8,20,29,37,42,46,32,3,17,41,38,36,43,31,21,10,7,44,2,4,14,9,27,24,30,23,45,12,48,1,26,16,19,47,6,18,22,15,28,33,39,13,35,11,25] => 166743.65811962532
[40,26,8,17,22,37,16,47,1,29,5,12,30,35,44,19,43,39,24,11,20,36,34,32,6,25,31,14,38,27,3,10,41,2,13,21,33,46,9,48,23,7,45,15,4,28,42,18] => 173725.39456763235
[16,5,21,17,14,33,31,2,37,35,41,15,36,28,6,18,29,34,20,24,1,13,8,47,4,10,7,27,42,46,43,26,38,3,32,12,23,30,25,40,44,39,48,19,22,45,9,11] => 169782.01763190105
[29,7,30,33,5,17,19,39,23,35,22,45,48,41,42,3,38,2,36,40,28,6,26,44,27,9,13,46,25,14,18,11,24,15,34,20,1,10,31,32,21,16,12,8,4,43,47,37] => 172877.14047387996
[39,29,34,46,40,31,37,43,21,6,10,32,16,44,7,11,25,38,33,36,1,14,2,41,5,23,9,48,45,47,20,12,27,13,26,30,8,35,19,28,22,17,15,18,42,3,24,4] => 142754.861149227
[3,16,2,46,41,6,35,40,9,1,22,48,27,34,43,21,42,8,44,18,39,33,37,10,38,20,15,4,12,14,11,28,5,30,47,17,7,31,32,45,26,24,13,25,19,29,36,23] => 161193.47711937487
[44,25,33,14,3,36,6,31,15,30,21,38,16,26,8,45,28,41,1,2,32,29,11,18,13,22,7,39,4,12,37,46,10,40,48,5,35,20,42,24,34,19,23,9,47,43,27,17] => 151837.96626446224
[18,48,6,19,14,41,28,2,17,12,7,1,46,35,22,15,9,42,33,24,45,39,47,8,23,40,29,27,38,30,44,31,20,11,32,25,3,4,37,13,43,10,26,34,16,21,36,5] => 160193.8018172919
[33,2,47,43,30,27,20,24,11,42,14,5,21,8,10,31,40,41,6,35,48,45,39,15,29,46,36,3,17,44,19,28,7,16,23,18,37,22,32,25,4,9,12,1,38,13,26,34] => 145736.64370218955
[10,6,41,1,19,48,36,28,32,9,26,4,29,13,43,40,7,20,46,5,22,16,2,3,42,33,11,47,35,27,37,25,18,39,30,34,21,24,38,17,45,8,31,44,14,15,12,23] => 159857.42584395473
[40,7,42,16,31,6,12,5,29,14,28,46,20,45,17,36,19,43,37,10,4,48,32,26,9,44,3,13,11,41,30,35,18,27,2,1,23,33,47,15,34,22,21,8,38,25,39,24] => 140403.40963379308
[29,13,31,25,11,3,42,21,33,46,28,23,5,30,36,43,20,45,41,10,26,39,4,18,34,2,16,19,32,40,38,15,8,47,17,9,7,24,6,1,12,37,44,14,35,22,27,48] => 150064.85599484362
[10,29,48,39,38,4,40,9,18,43,5,36,19,30,47,34,3,27,21,25,45,6,46,12,44,7,35,23,41,11,2,1,33,28,20,14,37,22,32,13,24,16,26,31,8,42,17,15] => 156224.75760304884
[24,32,9,4,6,10,44,15,35,13,48,47,20,11,42,30,2,17,12,41,23,46,29,5,25,8,45,1,26,31,14,34,18,37,43,22,38,39,19,7,16,3,28,40,27,21,33,36] => 172442.1658694826
[8,27,36,46,10,17,43,39,5,14,44,2,48,25,1,41,19,3,28,33,20,13,29,23,26,38,32,24,30,35,12,31,42,11,37,4,6,16,18,9,15,40,34,47,21,22,7,45] => 168319.7363953979
[46,22,43,5,32,44,20,47,40,37,39,10,14,28,3,48,29,4,25,26,6,27,35,2,12,21,36,41,1,17,42,15,38,24,23,16,9,30,33,18,13,34,31,19,11,45,8,7] => 154259.08393249227
[2,17,11,5,37,40,13,42,48,22,45,28,15,31,9,23,44,25,6,32,19,18,12,4,38,3,35,24,47,10,20,30,43,27,26,46,34,41,14,39,21,33,7,16,1,8,36,29] => 149713.1165821293
[24,14,9,33,15,45,27,35,25,10,31,6,7,17,8,26,29,44,4,30,5,11,36,43,42,22,28,41,19,1,12,40,23,48,34,39,13,46,2,16,47,18,20,3,38,21,32,37] => 167085.02286459107
[19,5,32,36,33,12,11,31,2,44,45,25,28,24,48,41,14,1,10,37,29,34,7,18,20,8,6,22,38,16,47,43,4,3,39,35,40,15,23,9,13,30,21,26,17,42,46,27] => 166342.07110118188
