[57,34,35,56,36,42,45,65,55,43,64,66,51,49,8,62,53,33,50,12,19,27,61,69,23,46,70,3,26,47,30,68,44,2,9,25,16,40,52,10,54,15,58,60,41,63,1,31,14,18,24,5,4,7,21,29,37,28,13,11,6,32,17,39,38,20,59,48,22,67] => 3889.778287444659
[13,14,25,34,29,5,46,19,42,24,58,32,35,52,51,65,66,49,40,43,61,1,23,62,8,26,16,11,21,69,33,2,57,6,17,4,38,37,7,47,27,20,53,10,59,3,68,67,60,63,64,50,39,56,55,12,15,9,28,36,54,31,41,30,48,70,22,45,18,44] => 3759.419202197674
[22,42,7,54,37,44,53,9,36,23,51,43,8,63,14,12,47,35,10,60,21,46,65,62,45,50,67,5,18,19,34,31,49,24,59,61,55,28,39,66,15,20,6,11,3,52,33,38,32,29,13,48,40,17,41,27,70,68,2,26,30,69,64,1,58,25,16,57,56,4] => 3561.5429687502897
[66,44,1,19,67,46,54,53,51,24,39,18,4,52,59,45,11,41,32,64,27,63,48,33,35,9,38,49,36,25,21,2,37,16,50,61,15,3,29,13,14,6,65,5,57,40,68,56,58,62,20,23,17,43,34,8,22,42,28,60,70,10,7,12,55,31,26,69,30,47] => 4091.376450975644
[1,7,53,69,5,57,50,64,15,56,2,19,26,8,48,27,14,60,11,42,47,34,45,25,58,10,63,49,3,9,62,67,30,65,36,12,20,40,55,44,41,35,66,70,46,17,23,37,4,22,28,68,38,43,16,29,18,21,31,32,61,59,33,24,13,52,39,51,6,54] => 3523.8780407588997
[46,44,16,35,12,49,38,6,18,3,69,56,29,22,57,65,34,30,50,52,28,24,17,51,1,36,70,58,32,39,41,43,23,40,55,26,10,7,27,19,60,5,42,61,31,20,53,54,8,45,66,47,64,68,59,25,67,14,4,48,9,21,2,63,62,13,11,37,15,33] => 3781.2951821906972
[24,32,63,54,29,38,15,8,20,49,67,9,2,50,27,68,21,3,12,45,59,10,60,36,69,25,43,65,47,5,13,39,23,26,31,55,41,70,46,7,51,30,22,35,42,40,28,52,44,1,14,62,61,19,17,16,64,6,18,33,4,56,34,58,53,37,48,57,66,11] => 3810.496693353697
[15,11,55,54,14,65,27,46,26,61,51,41,42,32,38,53,43,13,45,25,48,70,67,2,64,1,8,35,20,28,24,3,6,22,68,40,30,17,52,50,44,69,19,39,59,63,21,7,31,57,9,60,29,34,4,49,33,10,16,12,5,62,23,47,56,37,58,36,18,66] => 3587.9783478008953
[49,68,46,60,2,52,61,33,34,35,48,9,24,29,42,27,51,23,40,44,13,53,65,43,25,39,6,50,32,45,14,10,31,66,3,54,67,56,8,18,5,7,70,62,69,16,37,64,38,22,58,59,20,63,15,12,47,41,4,1,30,11,17,26,36,21,57,55,28,19] => 3466.798912740526
[66,18,69,54,42,40,27,3,16,4,51,32,44,17,8,5,48,63,65,6,60,61,36,52,43,46,58,7,59,23,31,24,41,57,1,9,10,22,28,50,62,68,14,47,35,25,21,53,38,64,56,20,30,2,55,45,39,29,12,11,15,34,33,49,70,37,19,13,26,67] => 3641.0790367654286
