[69, 8, 11, 75, 25, 52, 71, 42, 33, 21, 72, 18, 60, 32, 34, 49, 40, 13, 55, 50, 66, 20, 7, 9, 54, 68, 44, 62, 2, 28, 4, 73, 76, 45, 38, 53, 14, 39, 3, 10, 37, 43, 35, 46, 19, 5, 30, 23, 36, 64, 26, 47, 16, 51, 57, 15, 31, 67, 58, 1, 65, 41, 24, 12, 56, 48, 59, 27, 74, 63, 70, 17, 29, 22, 61, 6] => 2505.245717531652
[49, 39, 71, 10, 20, 8, 29, 61, 42, 68, 35, 34, 59, 37, 17, 19, 11, 2, 22, 70, 64, 72, 30, 21, 40, 63, 48, 25, 41, 53, 7, 56, 12, 32, 44, 76, 36, 33, 9, 50, 6, 16, 43, 13, 66, 75, 74, 14, 1, 62, 28, 4, 26, 65, 73, 57, 52, 27, 5, 31, 18, 67, 51, 3, 46, 60, 55, 45, 47, 54, 69, 15, 38, 24, 58, 23] => 2451.875894780687
[45, 12, 23, 58, 64, 21, 57, 46, 43, 63, 54, 38, 7, 14, 75, 26, 5, 11, 73, 65, 60, 18, 4, 33, 13, 53, 72, 68, 50, 19, 40, 10, 66, 59, 2, 74, 3, 15, 41, 37, 71, 55, 28, 44, 47, 76, 52, 25, 56, 24, 69, 62, 31, 42, 61, 67, 49, 8, 16, 22, 34, 20, 48, 36, 1, 17, 51, 27, 30, 35, 32, 6, 39, 29, 9, 70] => 2587.9335079392754
[53, 13, 24, 17, 26, 21, 59, 42, 6, 25, 52, 48, 71, 40, 14, 67, 37, 8, 66, 72, 70, 76, 57, 46, 9, 16, 20, 75, 44, 50, 38, 55, 62, 58, 31, 64, 56, 15, 41, 61, 2, 12, 39, 1, 4, 19, 73, 74, 11, 54, 68, 5, 23, 10, 3, 28, 47, 27, 45, 65, 35, 18, 32, 34, 30, 29, 7, 60, 22, 36, 49, 51, 63, 33, 69, 43] => 2422.122070574798
[50, 21, 31, 40, 8, 20, 60, 63, 32, 15, 68, 25, 28, 73, 14, 66, 19, 54, 37, 24, 76, 6, 7, 59, 52, 16, 70, 9, 72, 12, 13, 43, 35, 23, 55, 69, 10, 1, 42, 39, 47, 51, 48, 17, 57, 41, 56, 11, 30, 67, 45, 64, 18, 44, 65, 74, 62, 36, 34, 33, 71, 61, 29, 2, 38, 53, 22, 27, 26, 5, 49, 75, 58, 4, 46, 3] => 2528.5951773819775
[43, 39, 42, 51, 50, 69, 61, 21, 58, 67, 30, 12, 1, 72, 37, 13, 54, 2, 45, 73, 4, 35, 18, 33, 20, 57, 46, 44, 6, 23, 10, 16, 15, 32, 11, 52, 49, 8, 71, 14, 38, 59, 40, 36, 56, 76, 66, 55, 31, 19, 17, 62, 3, 7, 34, 74, 29, 64, 22, 53, 63, 9, 26, 75, 47, 5, 70, 27, 68, 25, 48, 60, 28, 24, 41, 65] => 2403.711343880829
[35, 60, 69, 41, 55, 71, 45, 18, 39, 27, 59, 54, 46, 57, 72, 31, 62, 50, 16, 73, 70, 12, 24, 22, 66, 32, 52, 33, 53, 14, 8, 61, 44, 21, 75, 11, 51, 43, 64, 4, 23, 10, 68, 49, 3, 47, 58, 42, 65, 1, 20, 28, 2, 26, 30, 17, 37, 34, 74, 40, 6, 5, 15, 29, 9, 67, 76, 63, 36, 25, 7, 38, 56, 19, 48, 13] => 2528.0883714225565
[68, 70, 10, 76, 59, 51, 32, 63, 1, 2, 41, 67, 36, 75, 5, 69, 24, 61, 42, 37, 18, 43, 12, 58, 44, 13, 28, 3, 23, 40, 31, 16, 34, 53, 7, 45, 72, 11, 38, 52, 65, 73, 27, 39, 66, 56, 49, 33, 9, 50, 71, 17, 64, 4, 46, 35, 29, 14, 57, 47, 26, 74, 15, 25, 21, 6, 60, 20, 22, 48, 8, 55, 19, 30, 54, 62] => 2413.572021175516
[29, 7, 23, 34, 54, 14, 60, 38, 46, 27, 10, 69, 62, 17, 31, 16, 55, 61, 12, 4, 56, 64, 1, 13, 44, 19, 71, 21, 8, 58, 59, 35, 49, 36, 52, 42, 70, 76, 65, 37, 63, 43, 2, 74, 15, 57, 28, 50, 11, 47, 6, 51, 53, 9, 22, 72, 26, 40, 32, 48, 33, 30, 5, 3, 25, 24, 67, 18, 20, 39, 73, 68, 45, 41, 75, 66] => 2513.385220420626
[26, 54, 50, 35, 73, 51, 13, 49, 25, 75, 16, 37, 61, 44, 71, 41, 68, 5, 59, 58, 12, 31, 24, 38, 74, 3, 65, 56, 6, 72, 21, 76, 53, 4, 67, 48, 23, 28, 11, 55, 39, 18, 1, 69, 20, 62, 45, 19, 27, 40, 30, 15, 36, 43, 60, 10, 22, 34, 32, 29, 9, 70, 46, 42, 33, 7, 17, 8, 64, 47, 66, 63, 57, 14, 52, 2] => 2620.1917534324853
