["49","51","43","15","31","26","52","35","32","21","39","24","14","37","30","8","4","9","20","42","33","48","45","19","13","47","46","16","12","17","10","34","3","29","5","40","2","50","7","36","44","41","25","27","23","22","18","11","38","6","1","28"] => 29617.26718869478
["20","39","14","29","35","6","9","26","47","13","25","3","50","38","1","5","37","7","34","51","36","22","8","23","15","18","21","44","31","49","12","45","24","30","46","41","28","11","33","16","52","10","19","2","48","32","42","43","40","27","4","17"] => 29289.314511352863
["45","38","27","42","4","3","34","17","50","16","12","47","35","37","1","32","5","30","14","9","43","24","46","29","41","51","23","13","25","7","36","39","44","6","21","8","18","20","40","31","33","22","26","2","49","28","10","19","11","48","52","15"] => 31800.78683233467
["28","46","37","11","27","14","35","50","8","13","31","16","1","9","39","38","41","48","52","24","4","49","19","3","18","10","43","32","42","30","20","5","7","12","29","47","45","40","15","51","2","17","44","25","33","21","26","22","34","6","23","36"] => 28218.221607471834
["25","26","19","42","6","5","44","4","13","16","51","33","11","40","46","32","37","39","27","22","30","7","8","48","12","43","35","15","38","21","36","3","52","18","50","1","31","45","49","2","14","47","9","20","41","28","29","24","23","17","34","10"] => 28937.940588099602
["22","14","37","3","29","23","16","44","35","24","34","4","50","19","42","8","2","20","17","9","47","32","26","27","25","41","12","10","43","38","28","31","40","6","46","11","33","45","36","5","49","15","48","7","21","39","30","51","13","18","1","52"] => 28884.169116827637
["18","42","21","47","39","1","19","10","31","12","36","20","25","34","7","11","9","5","8","26","15","48","6","41","22","3","16","4","17","24","52","33","29","2","14","46","28","35","30","13","45","37","40","27","38","49","43","32","44","51","23","50"] => 30719.45201306734
["8","50","2","33","16","27","39","43","7","10","12","40","38","49","18","35","48","15","23","19","14","36","30","17","20","37","31","25","46","13","41","28","11","29","47","5","52","42","4","32","34","24","6","1","44","3","9","45","21","22","26","51"] => 30170.47157078325
["48","31","51","26","22","40","45","13","6","44","25","32","3","14","35","30","36","2","33","21","17","28","52","19","11","24","43","23","27","37","7","9","16","34","39","1","46","5","42","38","20","10","12","50","47","8","41","18","29","49","15","4"] => 31938.76341893284
["26","37","36","5","47","14","44","17","35","42","45","28","33","10","31","38","7","40","3","23","46","30","18","39","24","43","32","20","51","15","48","22","8","11","16","29","41","19","34","9","13","50","12","21","49","2","25","1","27","4","52","6"] => 29871.51306491034
["2","50","14","9","30","22","28","43","49","41","45","25","23","24","44","34","33","46","35","7","11","26","27","4","12","48","31","21","42","10","32","18","47","40","6","38","20","15","29","37","17","52","8","3","39","19","36","51","13","5","1","16"] => 28766.227491746566
["38","22","46","4","31","37","43","3","51","23","24","7","40","26","32","25","14","17","13","21","6","18","45","35","28","30","47","20","41","2","5","27","33","15","44","29","49","34","12","9","52","36","16","48","1","10","11","8","19","39","42","50"] => 33026.54312025889
["32","36","26","21","22","44","16","39","3","9","18","49","31","23","52","50","1","11","29","5","47","42","20","43","25","37","2","10","4","46","41","30","6","34","51","40","35","14","33","15","24","19","17","8","48","28","45","13","27","12","38","7"] => 28984.049870695617
["10","38","32","4","31","28","51","39","37","7","18","2","3","43","6","35","17","1","13","29","12","34","9","5","22","30","8","14","26","48","15","20","16","23","50","41","52","47","36","33","21","44","19","42","24","49","45","27","46","25","11","40"] => 28744.807126232612
["4","21","35","11","12","47","45","40","32","17","5","37","33","27","48","29","38","23","42","16","31","43","19","50","6","3","39","36","52","1","13","49","10","46","51","20","41","9","30","25","26","15","14","8","18","22","2","44","28","24","34","7"] => 30767.35236894553
["22","3","30","26","20","39","28","4","15","5","8","34","37","31","9","2","7","48","11","43","38","23","32","47","14","29","21","1","12","41","27","36","50","46","13","45","10","51","42","19","52","6","24","44","17","16","35","18","40","49","25","33"] => 28493.599669662504
["49","15","18","12","24","38","31","20","44","33","13","28","26","11","16","7","32","3","9","14","46","5","17","47","39","34","35","30","29","45","37","19","51","52","1","41","6","4","43","8","48","40","10","50","23","36","21","25","2","22","27","42"] => 27802.10142143888
["10","18","34","7","3","36","28","1","29","2","13","42","11","4","27","45","43","51","41","40","49","48","24","17","26","22","6","9","33","23","47","30","46","5","38","15","12","19","32","25","20","52","39","14","8","16","37","35","31","50","44","21"] => 31243.45191999137
["22","48","30","16","36","51","12","50","40","49","9","27","52","39","29","7","2","23","46","41","4","42","13","17","14","1","5","10","45","25","33","43","3","19","44","18","11","31","38","15","28","24","37","8","26","20","34","32","35","21","6","47"] => 29315.116232945194
["34","21","41","50","47","10","22","44","43","35","39","16","36","40","31","27","29","4","6","30","12","2","37","14","32","13","51","8","17","19","3","5","1","26","45","28","52","15","11","25","18","38","9","46","24","49","20","23","33","42","7","48"] => 30093.82968366301
["46","6","49","37","4","23","41","51","5","29","38","12","27","35","18","19","36","15","17","45","1","24","50","34","30","11","32","13","44","2","47","14","33","16","39","22","21","10","28","43","25","3","26","42","40","31","8","20","48","7","52","9"] => 31492.72227404277
["43","35","44","38","41","13","2","51","40","9","16","30","22","21","29","23","47","8","52","18","45","31","25","3","24","7","49","27","4","46","26","5","15","37","36","32","11","39","42","10","14","1","33","28","20","6","17","34","19","12","48","50"] => 33017.83059300276
["39","22","7","1","20","50","48","3","51","27","44","49","47","17","12","28","42","23","14","26","16","21","19","40","38","37","15","13","34","11","9","33","2","5","4","32","18","41","29","52","10","6","43","31","30","45","35","25","8","36","46","24"] => 28278.861539302212
["4","1","5","32","10","24","3","42","36","7","6","2","8","48","16","21","15","39","14","28","12","37","31","41","46","34","17","47","9","49","11","26","45","35","44","50","33","25","29","51","20","43","52","30","13","23","27","22","38","18","19","40"] => 31512.719152536025
["7","6","39","8","29","1","44","19","25","10","52","14","33","5","37","17","43","15","26","38","41","49","27","32","3","16","24","12","9","23","22","18","50","13","51","46","48","28","4","45","21","42","36","2","47","34","30","40","11","20","35","31"] => 28449.878750450032
