[44, 88, 63, 62, 13, 64, 53, 23, 37, 94, 42, 11, 52, 79, 74, 41, 24, 61, 32, 90, 38, 84, 10, 3, 12, 80, 99, 69, 8, 27, 98, 89, 21, 35, 26, 65, 33, 48, 2, 30, 49, 95, 96, 31, 67, 4, 71, 76, 55, 57, 73, 92, 81, 50, 19, 85, 100, 78, 17, 36, 15, 22, 39, 5, 86, 47, 77, 6, 60, 28, 14, 87, 43, 91, 93, 40, 54, 72, 68, 51, 75, 70, 16, 83, 66, 25, 9, 82, 58, 97, 59, 7, 45, 56, 46, 29, 1, 20, 34, 18] => 166919.42895245325
[52, 19, 94, 44, 80, 21, 97, 5, 42, 92, 20, 56, 32, 28, 33, 96, 45, 82, 75, 71, 62, 25, 55, 37, 41, 26, 91, 7, 78, 72, 86, 54, 14, 64, 10, 58, 11, 1, 12, 53, 74, 23, 43, 50, 88, 95, 79, 6, 59, 99, 31, 81, 36, 15, 2, 89, 39, 27, 17, 65, 8, 85, 49, 30, 87, 100, 51, 16, 61, 63, 4, 29, 46, 76, 48, 35, 18, 69, 24, 38, 47, 9, 13, 77, 68, 73, 98, 84, 66, 57, 83, 40, 60, 22, 93, 67, 34, 70, 3, 90] => 175882.3543578032
[48, 68, 34, 21, 100, 86, 43, 88, 91, 49, 2, 95, 87, 84, 55, 36, 45, 92, 37, 66, 18, 82, 41, 61, 62, 30, 52, 8, 20, 12, 58, 54, 42, 70, 23, 11, 40, 16, 53, 38, 29, 76, 3, 10, 26, 65, 71, 32, 56, 59, 74, 13, 51, 77, 14, 60, 67, 4, 33, 90, 44, 25, 73, 47, 46, 5, 97, 6, 1, 96, 83, 22, 28, 64, 78, 35, 79, 24, 99, 50, 15, 17, 27, 39, 9, 7, 75, 94, 19, 81, 89, 63, 93, 31, 69, 72, 80, 85, 98, 57] => 158265.99275587892
[10, 90, 14, 24, 70, 39, 41, 91, 71, 85, 54, 4, 48, 47, 36, 74, 27, 93, 15, 82, 97, 22, 33, 19, 45, 78, 98, 62, 64, 5, 37, 28, 51, 77, 73, 84, 2, 3, 11, 30, 42, 32, 6, 31, 20, 40, 88, 52, 26, 63, 99, 29, 65, 86, 66, 23, 96, 49, 17, 56, 21, 12, 67, 43, 1, 44, 68, 61, 35, 87, 16, 9, 59, 92, 80, 34, 76, 50, 38, 25, 57, 46, 75, 83, 7, 79, 69, 8, 13, 81, 100, 58, 95, 60, 89, 72, 55, 18, 94, 53] => 180706.6551873512
[49, 51, 50, 40, 21, 89, 57, 85, 5, 48, 55, 76, 53, 92, 81, 12, 67, 99, 63, 56, 38, 2, 87, 1, 60, 86, 88, 19, 77, 98, 37, 28, 16, 54, 33, 91, 32, 20, 64, 58, 75, 69, 23, 25, 24, 61, 13, 9, 15, 62, 97, 22, 94, 29, 26, 95, 100, 41, 46, 39, 47, 8, 31, 45, 82, 44, 27, 93, 34, 35, 43, 74, 14, 42, 96, 72, 18, 78, 68, 71, 66, 73, 4, 52, 83, 84, 59, 6, 90, 17, 65, 10, 30, 80, 7, 79, 70, 3, 36, 11] => 162417.41201949207
[72, 24, 14, 88, 39, 16, 13, 97, 68, 23, 36, 67, 62, 70, 73, 43, 41, 26, 83, 61, 48, 30, 96, 10, 87, 100, 77, 60, 65, 44, 59, 12, 69, 28, 35, 42, 71, 54, 63, 91, 98, 17, 6, 8, 19, 94, 92, 34, 20, 53, 80, 79, 32, 99, 27, 95, 52, 11, 2, 50, 84, 86, 56, 49, 76, 18, 25, 33, 46, 38, 29, 75, 81, 55, 9, 21, 85, 45, 64, 74, 58, 93, 40, 1, 3, 47, 15, 5, 78, 7, 22, 4, 37, 82, 31, 90, 66, 51, 89, 57] => 176847.87856427868
[72, 22, 44, 80, 83, 10, 100, 81, 16, 75, 97, 9, 59, 27, 60, 90, 48, 67, 29, 54, 65, 87, 98, 52, 51, 91, 5, 47, 11, 25, 18, 32, 89, 50, 28, 96, 46, 31, 21, 12, 1, 92, 61, 58, 82, 36, 26, 3, 15, 66, 53, 4, 42, 17, 19, 69, 95, 45, 79, 74, 7, 99, 33, 2, 34, 73, 23, 55, 71, 86, 35, 6, 94, 8, 88, 84, 77, 24, 14, 70, 56, 93, 57, 39, 62, 13, 37, 43, 49, 64, 30, 41, 63, 20, 76, 85, 40, 68, 38, 78] => 169116.45613180692
[66, 34, 42, 90, 50, 80, 71, 79, 36, 78, 38, 20, 49, 69, 15, 12, 81, 75, 52, 99, 5, 45, 91, 55, 53, 56, 93, 4, 89, 51, 54, 65, 44, 35, 24, 88, 77, 6, 13, 40, 41, 28, 7, 25, 85, 98, 47, 68, 2, 18, 23, 96, 95, 74, 76, 73, 43, 60, 21, 64, 16, 82, 37, 3, 72, 30, 31, 70, 10, 67, 94, 11, 100, 14, 84, 26, 32, 57, 48, 29, 33, 8, 92, 59, 27, 97, 19, 22, 61, 1, 83, 46, 62, 17, 58, 87, 86, 39, 63, 9] => 174054.4231267831
[9, 6, 78, 72, 57, 81, 14, 53, 64, 42, 50, 5, 4, 63, 28, 97, 3, 76, 62, 26, 23, 33, 38, 24, 86, 77, 35, 83, 11, 27, 2, 69, 31, 92, 32, 52, 1, 94, 60, 67, 73, 90, 51, 88, 17, 47, 82, 91, 43, 99, 10, 37, 61, 25, 74, 85, 34, 45, 100, 71, 58, 16, 98, 29, 20, 59, 46, 55, 70, 65, 54, 89, 39, 49, 93, 68, 30, 7, 40, 84, 12, 95, 79, 8, 36, 96, 80, 22, 21, 75, 66, 44, 13, 87, 19, 41, 18, 15, 56, 48] => 174967.16754804642
[2, 75, 39, 31, 24, 44, 18, 91, 59, 66, 53, 15, 45, 26, 60, 23, 93, 27, 71, 68, 51, 63, 38, 67, 34, 48, 56, 86, 43, 7, 30, 28, 52, 12, 82, 65, 72, 40, 74, 98, 85, 88, 41, 58, 69, 84, 49, 14, 78, 57, 46, 95, 90, 17, 97, 4, 11, 96, 42, 83, 99, 37, 54, 73, 80, 94, 13, 50, 64, 87, 55, 9, 6, 22, 36, 61, 76, 3, 1, 33, 21, 77, 35, 79, 47, 89, 100, 62, 81, 92, 19, 8, 32, 5, 10, 20, 25, 70, 16, 29] => 165779.60447447773
[61, 78, 21, 92, 36, 41, 76, 99, 60, 37, 18, 68, 73, 13, 75, 54, 15, 97, 42, 94, 84, 66, 71, 14, 62, 85, 34, 69, 58, 59, 24, 67, 93, 4, 90, 17, 12, 19, 3, 72, 82, 49, 81, 56, 51, 29, 43, 11, 47, 30, 77, 2, 16, 40, 6, 98, 46, 65, 53, 1, 9, 22, 96, 7, 70, 32, 95, 80, 5, 50, 20, 100, 74, 10, 27, 26, 91, 86, 87, 31, 63, 79, 52, 55, 64, 28, 39, 83, 23, 89, 57, 33, 8, 38, 45, 35, 48, 25, 88, 44] => 173417.05889276782
[59, 69, 57, 63, 23, 48, 6, 87, 20, 58, 19, 89, 76, 47, 53, 35, 65, 86, 74, 12, 25, 64, 83, 36, 88, 3, 94, 80, 7, 5, 2, 30, 43, 45, 42, 100, 14, 92, 4, 16, 71, 66, 33, 1, 28, 90, 24, 26, 13, 54, 55, 79, 99, 27, 68, 72, 46, 62, 51, 61, 70, 32, 67, 21, 39, 85, 84, 91, 78, 44, 15, 60, 31, 40, 81, 8, 97, 52, 9, 96, 29, 41, 10, 77, 49, 82, 37, 18, 75, 98, 38, 73, 22, 11, 93, 50, 17, 56, 95, 34] => 172750.83922813804
